col1,col2,F606W,F814W,col5
775.117,473.118,25.6608,25.1864,1
1095.632,465.957,25.9868,25.5354,1
1956.617,476.033,25.1968,24.6994,1
2044.921,473.637,21.8279,21.7716,1
2312.688,483.41,27.0738,26.4834,1
866.514,646.679,28.1328,27.2494,1
1647.913,671.631,25.7598,25.2784,1
1704.407,600.152,26.9248,26.2164,1
1833.534,518.251,28.5308,27.6764,1
1889.56,554.747,28.1198,27.4544,1
1921.911,660.391,25.9838,25.4944,1
1954.372,691.002,28.2358,27.5384,1
1994.313,664.63,25.7938,25.2594,1
2090.005,600.764,26.9978,26.4594,1
2117.952,563.415,26.7668,26.2224,1
2122.656,635.268,27.5798,26.8394,1
2137.224,713.332,28.1158,27.3934,1
2276.307,555.73,28.5958,27.7564,1
2316.18,603.712,25.2518,24.8474,1
2361.254,520.189,25.7648,25.2624,1
2382.977,550.52,27.7888,27.0724,1
2409.99,626.882,26.6488,26.1444,1
2473.832,529.982,28.3348,27.5094,1
2484.66,631.166,27.2338,26.6134,1
2549.719,619.856,28.5268,27.6574,1
2572.34,624.219,27.9528,27.1454,1
2584.652,684.703,25.8138,25.2954,1
2589.452,505.551,28.1408,27.2584,1
2613.542,722.192,27.4928,26.8714,1
2665.599,671.388,26.7888,26.1404,1
2685.58,708.681,25.5568,25.1304,1
2698.443,544.792,27.3378,26.6574,1
2722.809,521.248,27.5738,26.9244,1
2765.715,601.099,28.2688,27.4074,1
2854.948,731.419,27.8148,27.1494,1
2875.906,723.059,28.1868,27.3524,1
2930.427,625.567,26.8598,26.2634,1
2928.706,727.104,27.1338,26.4364,1
3098.921,673.259,28.6388,27.7554,1
3120.385,645.661,27.2308,26.6154,1
3152.381,732.18,26.4508,25.9194,1
3222.138,555.808,28.1138,27.2564,1
3334.234,649.111,27.6588,27.0804,1
3329.746,680.699,25.9208,25.4024,1
3371.068,716.416,25.7428,25.2954,1
3468.873,580.735,27.6098,26.8234,1
3502.386,605.85,26.7718,26.2284,1
