col1,col2,F606W,F814W,col5
59.122,115.55,26.029,25.477,1
94.501,229.236,28.011,27.243,1
189.313,43.83,30.912,29.336,1
316.541,59.915,24.883,24.35,1
410.045,142.208,24.331,23.803,1
416.932,113.205,26.373,25.804,1
454.616,30.434,27.356,26.62,1
471.602,176.121,27.304,26.503,1
488.312,207.129,25.165,24.686,1
542.552,62.711,23.072,21.057,1
583.578,113.49,25.708,25.163,1
576.703,231.88,22.717,21.102,1
654.699,76.241,25.97,25.411,1
693.738,52.105,28.255,27.304,1
732.355,131.953,26.131,25.596,1
778.819,64.987,28.67,27.7,1
811.248,33.576,28.529,27.588,1
796.387,140.68,26.824,26.027,1
872.385,186.936,28.956,28.228,1
869.195,210.91,29.646,28.319,1
937.378,34.42,28.535,27.47,1
982.534,177.276,27.966,27.108,1
1017.708,93.486,26.529,25.983,1
1060.697,101.852,24.7,23.355,1
1069.16,79.143,27.029,26.376,1
1080.893,76.043,28.048,27.209,1
1109.341,186.597,27.005,26.391,1
1151.167,30.399,29.773,28.275,1
1158.988,173.145,24.729,24.172,1
1179.838,170.212,25.451,24.903,1
1218.297,13.459,26.763,26.082,1
1226.936,28.384,28.591,27.689,1
1221.545,59.205,27.543,26.801,1
1310.919,170.545,24.829,24.298,1
1336.349,178.652,27.406,26.643,1
1352.791,104,27.473,26.805,1
1402.156,135.197,24.864,22.938,1
1407.67,189.638,28.048,27.093,1
1446.833,12.533,25.157,24.607,1
1479.34,121.696,28.632,27.71,1
1487.925,182.401,26.085,25.526,1
1495.356,118.834,28.6,27.544,1
1536.719,230.865,27.518,26.94,1
1556.598,44.367,28.757,27.597,1
1582.346,130.754,26.522,25.864,1
1604.274,25.889,26.496,25.937,1
1591.762,189.705,26.05,25.492,1
1620.996,17.456,25.315,24.827,1
1631.375,13.353,26.185,25.63,1
1619.68,100.844,26.983,26.389,1
1613.67,129.013,27.056,26.397,1
1675.796,112.951,23.486,23.292,1
1666.413,119.706,27.379,26.653,1
1702.191,122.248,25.027,24.514,1
1726.404,29.725,26.952,26.307,1
1715.499,161.017,27.128,26.572,1
1740.719,74.937,26.666,26,1
1748.067,135.222,25.737,25.191,1
1774.514,180.744,24.207,23.685,1
1794.733,25.37,26.683,25.946,1
1812.078,34.711,28.456,27.448,1
1834.129,115.521,26.686,26.011,1
1844.196,223.272,27.016,26.322,1
1861.935,224.89,25.714,25.117,1
1903.609,32.233,25.898,25.27,1
1895.981,186.425,27.409,26.662,1
1918.467,54.5,25.479,24.964,1
1931.815,127.516,28.474,27.607,1
1957.981,61.747,28.31,27.39,1
1956.042,154.128,25.985,25.354,1
1963.691,25.753,27.928,26.932,1
1974.439,117.367,26.109,25.548,1
1984.421,149.236,26.105,25.539,1
1975.895,221.491,26.803,26.132,1
2032.414,78.258,26.954,26.26,1
2020.995,161.629,26.415,25.89,1
2024.292,139.502,24.593,24.139,1
2026.784,203.74,24.961,24.422,1
