col1,col2,F606W,F814W,col5
671.863,339.25,26.875,26.176,1
878.002,356.474,23.984,23.379,1
1002.952,424.034,28.891,27.961,1
1260.923,471.991,29.397,28.38,1
1741.187,458.652,25.664,25.161,1
1947.429,437.209,26.922,26.222,1
2199.576,451.203,27.584,26.809,1
2375.906,431.262,25.978,25.454,1
2483.007,456.438,27.911,27.055,1
602.096,553.194,26.122,25.605,1
1073.247,601.143,29.7,29.14,1
1269.389,599.176,28.752,27.78,1
1432.041,573.195,27.493,27.136,1
1459.255,691.998,28.18,27.252,1
1697.87,512.966,27.144,26.487,1
1717.476,659.244,27.191,26.46,1
2108.838,581.781,28.779,27.828,1
2189.268,550.065,28.052,27.399,1
2264.5,528.42,28.349,27.661,1
2326.365,561.488,23.888,23.27,1
2320.735,726.086,26.532,25.946,1
2338.91,490.097,28.727,28.002,1
2407.333,620.062,28.429,27.805,1
2414.262,690.374,26.963,26.396,1
2444.658,588.466,28.347,27.488,1
2483.256,615.774,24.734,24.282,1
2495.932,629.943,28.056,27.343,1
2539.425,641.787,25.906,25.351,1
2540.102,700.131,28.986,27.775,1
2568.062,498.615,26.387,25.889,1
2568.625,571.854,28.342,27.407,1
2611.451,643.271,28.247,27.296,1
2628.863,550.543,25.123,24.618,1
2816.587,500.639,27.203,26.614,1
2865.837,676.976,28.885,28.111,1
2931.276,652.429,28.103,27.21,1
2966.625,604.945,26.776,25.218,1
2967.834,731.226,27.444,26.755,1
3001.803,583.731,25.423,24.089,1
2991.484,647.958,24.392,23.905,1
3111.138,629.662,28.799,27.767,1
3170.821,595.758,27.326,26.648,1
3194.734,645.842,26.114,25.633,1
3215.22,614.313,27.434,26.739,1
3284.721,706.667,27.385,26.671,1
3313.531,718.514,28.789,27.63,1
3365.486,721.339,28.743,27.585,1
3388.097,587.816,26.773,26.167,1
3435.819,725.878,25.839,25.34,1
3457.964,491.791,22.932,21.694,1
3544.805,562.722,27.578,26.779,1
3587.002,732.255,28.846,28.391,1
3599.68,538.496,26.561,25.902,1
3657.557,720.396,26.826,26.256,1
3682.498,615.246,28.22,27.531,1
3712.126,705.762,25.968,25.459,1
3779.272,557.037,26.545,25.962,1
3804.683,622.002,28.382,27.682,1
3853.887,676.336,26.511,25.932,1
3868.199,607.786,26.278,25.72,1
3912.281,590.534,27.726,27.031,1
3921.415,520.611,26.995,26.355,1
3947.323,578.997,26.911,26.223,1
4005.223,584.655,28.127,27.272,1
4044.352,663.975,26.285,25.679,1
4196.268,658.731,26.247,25.726,1
4282.497,663.337,28.229,27.272,1
4294.342,595.088,26.33,25.797,1
4380.375,603.409,24.91,24.462,1
4392.392,648.989,27.959,27.813,1
4435.389,615.036,28.005,27.061,1
4414.251,707.685,28.685,27.97,1
4474.047,607.69,29.098,28.463,1
4463.594,736.957,23.022,22.361,1
4517.69,658.907,27.689,26.97,1
4536.251,670.161,25.264,24.74,1
4548.566,639.719,26.796,26.24,1
4569.163,638.472,27.47,26.764,1
4586.248,654.589,28.838,28.029,1
560.115,934.215,27.582,26.95,1
810.154,809.768,28.866,28.154,1
813.897,787.062,28.187,27.39,1
1122.263,761.85,27.433,26.677,1
1274.2,795.211,26.716,26.05,1
1288.744,799.061,27.873,27.125,1
1343.488,822.867,27.077,26.456,1
1398.378,800.533,28.646,27.892,1
1395.383,846.411,27.306,26.658,1
1436.046,838.746,25.944,25.432,1
1474.251,830.762,27.575,27.388,1
1486.881,888.154,26.736,26.112,1
1488.991,785.311,25.311,24.847,1
1512.503,926.504,27.108,26.533,1
1542.191,891.686,27.393,26.631,1
1639.555,747.519,25.961,25.439,1
1655.053,756.452,23.085,22.086,1
1677.87,855.78,28.337,27.556,1
1722.753,962.132,28.344,27.567,1
1752.892,828.214,28.704,27.916,1
1884.882,882.687,27.164,26.473,1
1906.378,759.247,28.164,27.573,1
1959.944,903.906,25.326,24.842,1
2001.18,905.556,26.638,26.079,1
2167.175,773.634,24.229,23.695,1
2184.019,931.514,28.612,27.844,1
2195.743,836.496,28.288,27.703,1
2308.615,818.154,25.594,25.085,1
2293.73,916.255,25.317,24.841,1
2417.88,864.582,28.378,27.433,1
2439.849,919.892,27.943,27.329,1
2499.365,829.061,28.631,27.619,1
2532.522,752.292,29.17,27.902,1
2513.439,823.478,28.315,27.529,1
2565.624,926.071,27.487,26.674,1
2627.825,738.041,25.634,25.115,1
2643.354,763.51,27.099,26.008,1
2690.634,882.577,28.308,27.552,1
2693.288,963.29,27.16,26.515,1
2730.94,914.266,27.912,27.136,1
2744.028,745.988,27.278,26.595,1
2744.071,787.49,28,27.207,1
2797.025,883.308,27.041,26.415,1
2827.629,801.647,26.993,26.344,1
2833.058,801.18,27.359,26.609,1
2837.916,955.107,26.045,25.478,1
2883.185,739.11,27.536,26.955,1
2872.846,845.204,28.482,27.536,1
2879.808,856.251,27.386,26.754,1
2882.219,863.099,27.74,27.055,1
2878.281,957.703,28.019,27.352,1
2933.387,740.404,28.857,27.99,1
2915.232,815.852,27.572,26.951,1
2931.063,900.659,25.379,24.898,1
2940.055,873.278,27.361,26.754,1
2994.218,792.731,27.779,27.067,1
3029.438,763.326,26.155,25.647,1
3071.568,925.406,28.71,27.72,1
3133.425,814.483,26.359,25.8,1
3171.677,802.745,27.524,26.711,1
3184.46,906.41,26.77,26.171,1
3198.182,856.685,25.879,25.392,1
3188.13,869.591,26.76,25.089,1
3289.467,916.953,21.22,20.578,1
3336.11,982.089,27.39,26.742,1
3394.358,764.04,24.351,23.835,1
3414.014,760.095,29.261,27.853,1
3426.542,982.599,28.825,27.888,1
3444.722,750.656,26.702,26.19,1
3532.38,848.945,27.267,26.492,1
3519.049,962.198,28.659,27.701,1
3601.906,946.173,28.407,27.653,1
3634.433,779.747,26.518,25.944,1
3648.902,872.081,27.101,26.477,1
3690.919,788.371,28.632,27.571,1
3752.765,783.119,29.454,28.381,1
3765.002,931.364,27.14,26.499,1
3808.753,838.585,25.024,24.512,1
3844.328,841.836,25.994,25.451,1
3875.93,781.941,27.84,27.086,1
3868.662,806.825,29.867,28.396,1
3904.063,793.136,21.988,21.281,1
3893.337,824.077,24.494,23.955,1
3888.672,902.144,26.753,26.189,1
3942.695,749.14,28.653,27.645,1
3942.19,938.54,28.73,28.113,1
3963.907,836.205,27.342,26.774,1
4036.589,763.697,24.401,23.914,1
4022.269,797.834,26.975,26.347,1
4035.277,841.22,27.38,26.692,1
4073.087,893.289,28.288,27.723,1
4087.476,949.376,27.697,26.979,1
4207.318,853.566,26.381,25.798,1
4227.27,867.254,27.005,26.446,1
4241.784,746.826,28.727,27.894,1
4248.999,878.686,26.476,25.898,1
4259.344,930.943,26.21,25.666,1
4259.149,952.86,27.845,27.122,1
4263.421,761.005,25.598,25.119,1
4286.585,928.808,28.2,27.346,1
4299.975,839.036,25.529,25.034,1
4336.594,830.882,26.893,26.341,1
4388.359,759.269,27.091,26.435,1
4459.434,798.801,27.548,26.765,1
4454.53,831.866,26.524,25.953,1
4464.16,963.652,27.658,26.908,1
4534.61,983.573,27.951,27.127,1
4545.22,898.047,27.17,26.549,1
4598.65,851.634,28.131,27.311,1
4613.655,801.895,27.85,27.104,1
702.526,1006.87,26.564,25.958,1
712.312,1158.532,28.804,27.76,1
993.579,990.227,27.915,27.277,1
1137.568,1080.438,27.781,27.158,1
1117.709,1194.525,27.324,26.715,1
1231.376,1061.938,27.647,26.98,1
1300.275,1101.719,28.067,27.227,1
1324.481,1235.302,27.563,26.968,1
1406.621,1192.3,28.378,27.582,1
1606.308,1080.941,28.359,27.458,1
1681.3,1006.423,26.71,26.131,1
1699.612,991.358,26.307,25.675,1
1689.442,1056.279,24.326,23.828,1
1828.712,1063.528,26.359,25.77,1
1831.054,1167.456,25.612,25.05,1
1839.38,999.696,27.002,26.336,1
2017.22,1121.872,25.839,25.317,1
2048.722,1202.688,27.693,26.994,1
2124.372,1212.034,26.874,26.25,1
2159.823,1033.834,27.083,26.355,1
2152.233,1125.115,30.837,29.136,1
2172.464,1092.348,26.423,25.904,1
2254.92,1102.505,26.952,26.373,1
2269.519,1109.921,23.985,23.417,1
2309.39,1027.314,26.129,25.598,1
2329.502,1179.955,28.78,27.986,1
2354.078,1074.373,25.79,25.328,1
2427.747,999.667,26.861,26.187,1
2430.284,1048.402,29.308,28.707,1
2534.163,1168.736,26.619,26.014,1
2623.878,1229.026,25.264,24.776,1
2642.625,1183.274,29.031,28.071,1
2682.608,1118.531,26.436,25.801,1
2675.525,1158.947,23.344,22.693,1
2734.163,1216.998,26.199,25.675,1
2810.212,991.251,27.136,26.504,1
2841.162,1100.771,25.799,25.306,1
2865.506,1203.646,26.191,25.693,1
2936.065,1097.493,26.432,25.939,1
2953.191,1081.091,28.638,27.692,1
2992.719,1226.832,25.856,25.361,1
3016.822,1061.898,27.335,26.698,1
3031.234,1206.392,27.466,26.239,1
3071.896,1058.207,27.727,27.016,1
3077.29,1085.05,26.712,26.132,1
3116.523,996.271,28.701,28.401,1
3141.916,1097.419,26.855,26.273,1
3222.131,1163.762,27.261,26.697,1
3276.556,1180.585,22.479,21.817,1
3319.96,1063.336,24.61,24.143,1
3350.728,1064.177,29.479,28.188,1
3351.986,1110.333,28.752,27.731,1
3408.288,1018.324,27.008,26.232,1
3390.251,1042.717,28.451,27.632,1
3394.871,1142.936,25.982,25.465,1
3400.696,1191.544,25.2,24.725,1
3574.137,1004.945,28.244,27.311,1
3609.447,1139.282,25.811,25.237,1
3629.746,1164.381,27.183,26.538,1
3656.181,1060.921,25.397,24.918,1
3681.076,1149.208,27.17,26.507,1
3725.708,1225.028,28.904,28.125,1
3752.641,1101.012,28.893,27.935,1
3825.042,1030.5,26.279,25.678,1
3854.685,991.35,25.705,25.194,1
3849.673,1102.489,25.203,24.636,1
3908.354,1063.708,27.039,26.399,1
3908.7,1162.011,26.92,26.315,1
3934.372,1012.743,27.482,26.859,1
3920.852,1096.108,26.407,25.878,1
3925.163,1171.755,26.547,25.996,1
3991.565,996.808,27.187,26.556,1
4002.571,1188.889,27.418,26.712,1
4047.736,988.291,26.283,25.741,1
4054.226,1135.879,27.369,26.602,1
4083.256,1143.248,24.238,23.679,1
4122.813,1088.032,28.586,27.41,1
4146.808,998.284,28.881,27.941,1
4160.129,1059.121,26.996,26.466,1
4164.88,1020.181,27.926,27.204,1
4180.356,1092.314,28.004,27.186,1
4163.186,1223.626,27.873,27.288,1
4289.997,1122.285,24.375,23.835,1
4289.668,1147.562,27.343,26.766,1
4305.664,1176.381,26.634,25.885,1
4322.67,1041.411,26.226,25.718,1
4332.056,1167.017,26.954,26.258,1
4356.612,1166.02,27.053,26.467,1
4432.534,1043.243,26.168,25.635,1
4453.701,996.571,28.444,27.536,1
4447.881,1050.634,27.723,26.996,1
4458.248,1080.421,26.724,26.07,1
4530.542,1186.829,26.023,25.534,1
4558.215,1179.995,25.5,25.026,1
4574.93,1159.653,26.946,26.363,1
4612.802,1044.269,26.6,26.028,1
4616.479,1000.121,24.022,23.437,1
4624.364,1008.075,24.048,23.659,1
4614.779,1180.78,29.239,28.123,1
744.201,1348.393,26.511,25.828,1
808.049,1416.969,27.333,26.696,1
860.444,1267.531,26.508,25.986,1
843.295,1357.57,24.198,23.529,1
874.425,1316.889,25.307,24.784,1
912.389,1423.221,25.878,25.372,1
959.598,1300.281,28.032,27.371,1
1045.692,1320.652,27.545,26.941,1
1075.606,1465.591,28.014,27.332,1
1101.933,1482.517,28.966,28.074,1
1141.694,1425.985,27.59,26.954,1
1208.986,1283.965,26.043,25.552,1
1193.005,1319.332,29.13,28.256,1
1330.398,1295.692,23.762,23.111,1
1358.837,1406.87,26.29,25.745,1
1364.677,1382.846,25.167,24.688,1
1418.984,1402.237,25.994,25.478,1
