col1,col2,F606W,F814W,col5
1018.353,486.01,25.219,24.751,1
2259.531,478.041,25.769,25.216,1
781.026,691.594,24.483,24.007,1
836.293,579.414,25.714,25.068,1
910.472,597.569,29.581,28.469,1
995.965,606.639,24.576,24.103,1
1086.329,548.095,26.168,25.557,1
1277.451,684.993,27.335,26.958,1
1741.71,489.124,27.105,26.332,1
1782.112,542.401,28.349,26.996,1
1860.96,577.492,28.797,27.627,1
2034.318,695.007,25.451,24.918,1
2139.683,623.536,29.988,25.587,1
2254.537,535.057,26.96,26.141,1
2331.843,565.383,20.148,19.44,1
2514.489,694.716,27.534,26.646,1
2647.498,646.677,23.995,23.509,1
2950.99,724.669,26.184,25.47,1
3077.583,704.32,25.799,25.25,1
3165.88,547.929,23.407,22.943,1
3179.173,574.642,24.528,24.03,1
3437.054,680.035,25.889,25.299,1
3498.337,729.229,25.948,25.377,1
559.68,861.178,29.637,28.866,1
565.248,753.582,27.358,26.532,1
636.202,827.806,23.417,22.606,1
718.811,917.673,26.516,25.866,1
742.205,836.217,26.953,26.028,1
747.024,830.711,27.693,26.781,1
822.293,820.567,28.006,26.994,1
890.889,907.129,25.617,25.035,1
1115.794,963.043,30.033,28.884,1
1253.846,854.646,24.89,24.375,1
1883.446,930.518,28.077,27.38,1
1882.231,946.767,27.872,26.261,1
1936.675,893.444,23.92,23.49,1
2003.752,979.326,25.711,25.138,1
2161.586,862.231,26.482,25.69,1
2189.064,948.221,27.679,27.02,1
2260.774,816.008,22.884,21.707,1
2242.509,958.268,26.267,25.572,1
2500.36,956.526,25.792,25.16,1
2987.203,783.497,27.624,26.563,1
2972.786,886.628,26.039,25.42,1
3040.114,784.632,29.047,28.347,1
3169.462,924.554,27.374,26.643,1
3307.733,872.566,23.747,23.306,1
3574.136,833.135,28.229,27.345,1
3595.292,926.06,25.842,25.289,1
3644.853,815.35,26.509,25.843,1
3904.487,985.331,25.066,24.589,1
3937.337,908.994,26.302,25.62,1
4019.535,986.446,28.052,27.063,1
4342.978,841.768,27.902,26.788,1
553.575,1090.542,26.634,25.819,1
692.27,1008.516,25.592,25.025,1
865.942,995.247,25.585,24.96,1
1006.437,1078.422,27.247,26.502,1
1412.525,1207.995,26.992,26.246,1
1631.532,1070.32,27.619,26.899,1
1665.735,1108.82,26.592,25.879,1
1847.129,1170.088,26.367,25.723,1
1916.509,1167.241,26.597,25.919,1
2066.708,1233.717,25.858,25.212,1
2339.746,1004.556,28.116,27.437,1
2864.718,1025.794,27.193,26.367,1
3079.885,1105.925,29.405,29.402,1
3100.123,1187.857,28.335,27.116,1
3436.487,1018.056,25.006,24.509,1
3592.398,1180.473,23.462,22.706,1
3642.149,1127.555,23.698,23.38,1
4240.978,1047.588,26.01,25.331,1
4553.917,1028.185,25.733,25.058,1
546.991,1288.67,27.012,26.338,1
576.761,1245.945,25.636,25.022,1
686.524,1339.584,29.346,29.132,1
819.077,1240.135,27.442,26.518,1
970.443,1291.134,24.282,23.807,1
1710.745,1365.767,27.621,26.815,1
1703.836,1420.061,27.285,26.701,1
1823.371,1450.518,20.254,19.503,1
1907.773,1379.027,26.439,25.649,1
2140.566,1415.23,26.061,25.368,1
2499.25,1481.873,25.803,25.207,1
2725.762,1406.524,25.424,24.892,1
2778.934,1354.552,24.996,24.356,1
3354.411,1312.986,26.619,25.894,1
3464.029,1359.875,25.061,24.503,1
3555.048,1279.859,30.833,28.961,1
4054.314,1412.498,26.553,25.584,1
4355.388,1248.272,24.984,24.398,1
4568.733,1334.194,25.31,24.798,1
4582.255,1389.365,28.186,27.178,1
648.256,1732.28,24.682,24.204,1
703.342,1516.758,25.846,25.268,1
1022.195,1623.993,26.01,25.466,1
1184.947,1713.494,26.444,25.767,1
1256.337,1674.963,26.852,26.116,1
1435.086,1539.321,28.382,27.286,1
1645.293,1666.809,26.277,25.618,1
1787.05,1540.144,25.844,25.224,1
1787.026,1653.221,24.442,23.964,1
1959.78,1568.08,30.321,28.476,1
2496.043,1722.508,27.945,27.092,1
2686.36,1723.206,25.125,24.6,1
2791.868,1610.866,25.15,24.612,1
2955.199,1492.715,26.428,26.124,1
3047.85,1626.971,30.073,28.706,1
3120.834,1546.35,27.029,26.3,1
3444.062,1644.833,25.674,25.046,1
3521.896,1575.397,27.253,26.362,1
3797.38,1634.671,26.687,26.007,1
3845.464,1626.242,28.245,27.133,1
609.787,1828.683,29.922,28.314,1
624.345,1883.148,27.956,27.048,1
724.504,1940.897,28.504,27.38,1
803.609,1835.101,26.994,26.247,1
873.88,1877.661,26.443,25.686,1
952.822,1913.619,25.483,24.852,1
1147.318,1957.53,24.821,24.305,1
1344.667,1738.433,30.359,28.502,1
1383.363,1936.754,25.773,25.201,1
1441.3,1864.768,27.499,26.828,1
2434.781,1986.603,27.655,26.895,1
2546.449,1784.838,27.63,26.737,1
2912.949,1781.933,24.015,23.602,1
3373.17,1854.866,24.676,24.169,1
3521.022,1815.811,22.692,22.052,1
3657.973,1762.859,24.331,23.881,1
4376.241,1779.499,25.72,25.132,1
4537.175,1952.728,25.235,24.698,1
1034.498,2086.333,26.338,25.622,1
1160.373,2120.448,28.953,27.985,1
1280.214,2129.924,28.323,27.859,1
1365.245,2086.694,27.12,26.429,1
1459.789,1991.796,26.033,25.338,1
1590.294,2063.427,27.571,26.809,1
1671.758,2124.403,26.032,25.489,1
1712.731,2043.898,25.518,25.017,1
1726.157,2064.203,25.798,25.114,1
1944.266,2203.911,21.192,19.355,1
2648.084,1989.848,20.38,19.673,1
3363.897,2045.122,27.761,26.157,1
3937.8,2209.035,26.983,26.197,1
4234.704,2110.432,26.381,26.261,1
4582.935,2052.14,23.823,22.483,1
1083.592,2307.294,27.948,27.188,1
1363.826,2260.12,22.411,21.764,1
1905.594,2444.787,23.36,22.328,1
2085.347,2481.09,27.017,26.226,1
2237.376,2362.55,23.691,23.272,1
2768.052,2287.648,23.844,23.397,1
2762.956,2393.717,28.793,27.577,1
2804.673,2432.916,25.912,25.306,1
2860.874,2318.218,27.437,26.547,1
3192.446,2352.209,28.634,25.696,1
3520.052,2421.158,25.206,24.645,1
4008.592,2359.59,27.395,27.066,1
4286.442,2433.365,24.076,21.627,1
4489.116,2394.079,29.262,29.192,1
561.903,2657.361,28.945,28.395,1
1345.975,2523.398,25.418,24.884,1
1598.662,2679.112,25.767,25.201,1
1771.468,2598.708,29.513,28.714,1
2384.797,2618.67,26.671,25.929,1
2489.213,2629.806,25.681,24.947,1
3134.833,2659.947,29.441,27.857,1
3223.316,2592.269,26.514,26.254,1
3462.877,2686.031,23.437,22.571,1
3795.935,2737.046,22.756,22.106,1
4000.552,2525.436,29.279,28.136,1
836.41,2752.795,26.133,25.527,1
